378, 1059
decrease 169 2
decrease 168 2
decrease 167 2
decrease 166 2
decrease 165 2
decrease 164 2
decrease 163 2
decrease 162 2
decrease 161 2
decrease 160 2
decrease 159 2
decrease 158 2
decrease 157 2
decrease 156 2
decrease 155 2
decrease 154 2
decrease 153 2
decrease 152 2
decrease 151 2
decrease 150 2
decrease 149 2
decrease 148 2
decrease 147 2
decrease 146 2
decrease 145 2
decrease 144 2
decrease 143 2
decrease 142 2
decrease 141 2
decrease 140 2
decrease 139 2
decrease 138 2
decrease 137 2
decrease 136 2
decrease 135 2
decrease 134 2
decrease 133 2
decrease 132 2
decrease 131 2
decrease 130 2
decrease 129 2
decrease 128 2
double 127 65
decrease 254 2
decrease 253 2
decrease 252 2
decrease 251 2
decrease 250 2
decrease 249 2
decrease 248 2
decrease 247 2
decrease 246 2
decrease 245 2
decrease 244 2
decrease 243 2
decrease 242 2
decrease 241 2
decrease 240 2
decrease 239 2
decrease 238 2
decrease 237 2
decrease 236 2
decrease 235 2
decrease 234 2
decrease 233 2
decrease 232 2
decrease 231 2
decrease 230 2
decrease 229 2
decrease 228 2
decrease 227 2
decrease 226 2
decrease 225 2
decrease 224 2
decrease 223 2
decrease 222 2
decrease 221 2
decrease 220 2
decrease 219 2
decrease 218 2
decrease 217 2
decrease 216 2
decrease 215 2
decrease 214 2
decrease 213 2
decrease 212 2
decrease 211 2
decrease 210 2
decrease 209 2
decrease 208 2
decrease 207 2
decrease 206 2
decrease 205 2
decrease 204 2
decrease 203 2
decrease 202 2
decrease 201 2
decrease 200 2
decrease 199 2
decrease 198 2
decrease 197 2
decrease 196 2
decrease 195 2
decrease 194 2
decrease 193 2
decrease 192 2
double 191 97
decrease 382 2
decrease 381 2
decrease 380 2
decrease 379 2
decrease 378 2
decrease 377 2
decrease 376 2
decrease 375 2
decrease 374 2
decrease 373 2
decrease 372 2
decrease 371 2
decrease 370 2
decrease 369 2
decrease 368 2
decrease 367 2
decrease 366 2
decrease 365 2
decrease 364 2
decrease 363 2
decrease 362 2
decrease 361 2
decrease 360 2
decrease 359 2
decrease 358 2
decrease 357 2
decrease 356 2
decrease 355 2
decrease 354 2
decrease 353 2
decrease 352 2
decrease 351 2
decrease 350 2
decrease 349 2
decrease 348 2
decrease 347 2
decrease 346 2
decrease 345 2
decrease 344 2
decrease 343 2
decrease 342 2
decrease 341 2
decrease 340 2
decrease 339 2
decrease 338 2
decrease 337 2
decrease 336 2
decrease 335 2
decrease 334 2
decrease 333 2
decrease 332 2
decrease 331 2
decrease 330 2
decrease 329 2
decrease 328 2
decrease 327 2
decrease 326 2
decrease 325 2
decrease 324 2
decrease 323 2
decrease 322 2
decrease 321 2
decrease 320 2
decrease 319 2
decrease 318 2
decrease 317 2
decrease 316 2
decrease 315 2
decrease 314 2
decrease 313 2
decrease 312 2
decrease 311 2
decrease 310 2
decrease 309 2
decrease 308 2
decrease 307 2
decrease 306 2
decrease 305 2
decrease 304 2
decrease 303 2
decrease 302 2
decrease 301 2
decrease 300 2
decrease 299 2
decrease 298 2
decrease 297 2
decrease 296 2
decrease 295 2
decrease 294 2
decrease 293 2
decrease 292 2
decrease 291 2
decrease 290 2
decrease 289 2
decrease 288 2
decrease 287 2
decrease 286 2
decrease 285 2
decrease 284 2
decrease 283 2
decrease 282 2
decrease 281 2
decrease 280 2
decrease 279 2
decrease 278 2
decrease 277 2
decrease 276 2
decrease 275 2
decrease 274 2
decrease 273 2
decrease 272 2
decrease 271 2
decrease 270 2
decrease 269 2
decrease 268 2
decrease 267 2
decrease 266 2
decrease 265 2
decrease 264 2
decrease 263 2
decrease 262 2
decrease 261 2
decrease 260 2
decrease 259 2
decrease 258 2
decrease 257 2
