10818, 31881
decrease 39974 2
decrease 39973 2
decrease 39972 2
decrease 39971 2
decrease 39970 2
decrease 39969 2
decrease 39968 2
decrease 39967 2
decrease 39966 2
decrease 39965 2
decrease 39964 2
decrease 39963 2
decrease 39962 2
decrease 39961 2
decrease 39960 2
decrease 39959 2
decrease 39958 2
decrease 39957 2
decrease 39956 2
decrease 39955 2
decrease 39954 2
decrease 39953 2
decrease 39952 2
decrease 39951 2
decrease 39950 2
decrease 39949 2
decrease 39948 2
decrease 39947 2
decrease 39946 2
decrease 39945 2
decrease 39944 2
decrease 39943 2
decrease 39942 2
decrease 39941 2
decrease 39940 2
decrease 39939 2
decrease 39938 2
decrease 39937 2
decrease 39936 2
decrease 39935 2
decrease 39934 2
decrease 39933 2
decrease 39932 2
decrease 39931 2
decrease 39930 2
decrease 39929 2
decrease 39928 2
decrease 39927 2
decrease 39926 2
decrease 39925 2
decrease 39924 2
decrease 39923 2
decrease 39922 2
decrease 39921 2
decrease 39920 2
decrease 39919 2
decrease 39918 2
decrease 39917 2
decrease 39916 2
decrease 39915 2
decrease 39914 2
decrease 39913 2
decrease 39912 2
decrease 39911 2
decrease 39910 2
decrease 39909 2
decrease 39908 2
decrease 39907 2
decrease 39906 2
decrease 39905 2
decrease 39904 2
decrease 39903 2
decrease 39902 2
decrease 39901 2
decrease 39900 2
decrease 39899 2
decrease 39898 2
decrease 39897 2
decrease 39896 2
decrease 39895 2
decrease 39894 2
decrease 39893 2
decrease 39892 2
decrease 39891 2
decrease 39890 2
decrease 39889 2
decrease 39888 2
decrease 39887 2
decrease 39886 2
decrease 39885 2
decrease 39884 2
decrease 39883 2
decrease 39882 2
decrease 39881 2
decrease 39880 2
decrease 39879 2
decrease 39878 2
decrease 39877 2
decrease 39876 2
decrease 39875 2
decrease 39874 2
decrease 39873 2
decrease 39872 2
decrease 39871 2
decrease 39870 2
decrease 39869 2
decrease 39868 2
decrease 39867 2
decrease 39866 2
decrease 39865 2
decrease 39864 2
decrease 39863 2
decrease 39862 2
decrease 39861 2
decrease 39860 2
decrease 39859 2
decrease 39858 2
decrease 39857 2
decrease 39856 2
decrease 39855 2
decrease 39854 2
decrease 39853 2
decrease 39852 2
decrease 39851 2
decrease 39850 2
decrease 39849 2
decrease 39848 2
decrease 39847 2
decrease 39846 2
decrease 39845 2
decrease 39844 2
decrease 39843 2
decrease 39842 2
decrease 39841 2
decrease 39840 2
decrease 39839 2
decrease 39838 2
decrease 39837 2
decrease 39836 2
decrease 39835 2
decrease 39834 2
decrease 39833 2
decrease 39832 2
decrease 39831 2
decrease 39830 2
decrease 39829 2
decrease 39828 2
decrease 39827 2
decrease 39826 2
decrease 39825 2
decrease 39824 2
decrease 39823 2
decrease 39822 2
decrease 39821 2
decrease 39820 2
decrease 39819 2
decrease 39818 2
decrease 39817 2
decrease 39816 2
decrease 39815 2
decrease 39814 2
decrease 39813 2
decrease 39812 2
decrease 39811 2
decrease 39810 2
decrease 39809 2
decrease 39808 2
decrease 39807 2
decrease 39806 2
decrease 39805 2
decrease 39804 2
decrease 39803 2
decrease 39802 2
decrease 39801 2
decrease 39800 2
decrease 39799 2
decrease 39798 2
decrease 39797 2
decrease 39796 2
decrease 39795 2
decrease 39794 2
decrease 39793 2
decrease 39792 2
decrease 39791 2
decrease 39790 2
decrease 39789 2
decrease 39788 2
decrease 39787 2
decrease 39786 2
decrease 39785 2
decrease 39784 2
decrease 39783 2
decrease 39782 2
decrease 39781 2
decrease 39780 2
decrease 39779 2
decrease 39778 2
decrease 39777 2
decrease 39776 2
decrease 39775 2
decrease 39774 2
decrease 39773 2
decrease 39772 2
decrease 39771 2
decrease 39770 2
decrease 39769 2
decrease 39768 2
decrease 39767 2
decrease 39766 2
decrease 39765 2
decrease 39764 2
decrease 39763 2
decrease 39762 2
decrease 39761 2
decrease 39760 2
decrease 39759 2
decrease 39758 2
decrease 39757 2
decrease 39756 2
decrease 39755 2
decrease 39754 2
decrease 39753 2
decrease 39752 2
decrease 39751 2
decrease 39750 2
decrease 39749 2
decrease 39748 2
decrease 39747 2
decrease 39746 2
decrease 39745 2
decrease 39744 2
decrease 39743 2
decrease 39742 2
decrease 39741 2
decrease 39740 2
decrease 39739 2
decrease 39738 2
decrease 39737 2
decrease 39736 2
decrease 39735 2
decrease 39734 2
decrease 39733 2
decrease 39732 2
decrease 39731 2
decrease 39730 2
decrease 39729 2
decrease 39728 2
decrease 39727 2
decrease 39726 2
decrease 39725 2
decrease 39724 2
decrease 39723 2
decrease 39722 2
decrease 39721 2
decrease 39720 2
decrease 39719 2
decrease 39718 2
decrease 39717 2
decrease 39716 2
decrease 39715 2
decrease 39714 2
decrease 39713 2
decrease 39712 2
decrease 39711 2
decrease 39710 2
decrease 39709 2
decrease 39708 2
decrease 39707 2
decrease 39706 2
decrease 39705 2
decrease 39704 2
decrease 39703 2
decrease 39702 2
decrease 39701 2
decrease 39700 2
decrease 39699 2
decrease 39698 2
decrease 39697 2
decrease 39696 2
decrease 39695 2
decrease 39694 2
decrease 39693 2
decrease 39692 2
decrease 39691 2
decrease 39690 2
decrease 39689 2
decrease 39688 2
decrease 39687 2
decrease 39686 2
decrease 39685 2
decrease 39684 2
decrease 39683 2
decrease 39682 2
decrease 39681 2
decrease 39680 2
decrease 39679 2
decrease 39678 2
decrease 39677 2
decrease 39676 2
decrease 39675 2
decrease 39674 2
decrease 39673 2
decrease 39672 2
decrease 39671 2
decrease 39670 2
decrease 39669 2
decrease 39668 2
decrease 39667 2
decrease 39666 2
decrease 39665 2
decrease 39664 2
decrease 39663 2
decrease 39662 2
decrease 39661 2
decrease 39660 2
decrease 39659 2
decrease 39658 2
decrease 39657 2
decrease 39656 2
decrease 39655 2
decrease 39654 2
decrease 39653 2
decrease 39652 2
decrease 39651 2
decrease 39650 2
decrease 39649 2
decrease 39648 2
decrease 39647 2
decrease 39646 2
decrease 39645 2
decrease 39644 2
decrease 39643 2
decrease 39642 2
decrease 39641 2
decrease 39640 2
decrease 39639 2
decrease 39638 2
decrease 39637 2
decrease 39636 2
decrease 39635 2
decrease 39634 2
decrease 39633 2
decrease 39632 2
decrease 39631 2
decrease 39630 2
decrease 39629 2
decrease 39628 2
decrease 39627 2
decrease 39626 2
decrease 39625 2
decrease 39624 2
decrease 39623 2
decrease 39622 2
decrease 39621 2
decrease 39620 2
decrease 39619 2
decrease 39618 2
decrease 39617 2
decrease 39616 2
decrease 39615 2
decrease 39614 2
decrease 39613 2
decrease 39612 2
decrease 39611 2
decrease 39610 2
decrease 39609 2
decrease 39608 2
decrease 39607 2
decrease 39606 2
decrease 39605 2
decrease 39604 2
decrease 39603 2
decrease 39602 2
decrease 39601 2
decrease 39600 2
decrease 39599 2
decrease 39598 2
decrease 39597 2
decrease 39596 2
decrease 39595 2
decrease 39594 2
decrease 39593 2
decrease 39592 2
decrease 39591 2
decrease 39590 2
decrease 39589 2
decrease 39588 2
decrease 39587 2
decrease 39586 2
decrease 39585 2
decrease 39584 2
decrease 39583 2
decrease 39582 2
decrease 39581 2
decrease 39580 2
decrease 39579 2
decrease 39578 2
decrease 39577 2
decrease 39576 2
decrease 39575 2
decrease 39574 2
decrease 39573 2
decrease 39572 2
decrease 39571 2
decrease 39570 2
decrease 39569 2
decrease 39568 2
decrease 39567 2
decrease 39566 2
decrease 39565 2
decrease 39564 2
decrease 39563 2
decrease 39562 2
decrease 39561 2
decrease 39560 2
decrease 39559 2
decrease 39558 2
decrease 39557 2
decrease 39556 2
decrease 39555 2
decrease 39554 2
decrease 39553 2
decrease 39552 2
decrease 39551 2
decrease 39550 2
decrease 39549 2
decrease 39548 2
decrease 39547 2
decrease 39546 2
decrease 39545 2
decrease 39544 2
decrease 39543 2
decrease 39542 2
decrease 39541 2
decrease 39540 2
decrease 39539 2
decrease 39538 2
decrease 39537 2
decrease 39536 2
decrease 39535 2
decrease 39534 2
decrease 39533 2
decrease 39532 2
decrease 39531 2
decrease 39530 2
decrease 39529 2
decrease 39528 2
decrease 39527 2
decrease 39526 2
decrease 39525 2
decrease 39524 2
decrease 39523 2
decrease 39522 2
decrease 39521 2
decrease 39520 2
decrease 39519 2
decrease 39518 2
decrease 39517 2
decrease 39516 2
decrease 39515 2
decrease 39514 2
decrease 39513 2
decrease 39512 2
decrease 39511 2
decrease 39510 2
decrease 39509 2
decrease 39508 2
decrease 39507 2
decrease 39506 2
decrease 39505 2
decrease 39504 2
decrease 39503 2
decrease 39502 2
decrease 39501 2
decrease 39500 2
decrease 39499 2
decrease 39498 2
decrease 39497 2
decrease 39496 2
decrease 39495 2
decrease 39494 2
decrease 39493 2
decrease 39492 2
decrease 39491 2
decrease 39490 2
decrease 39489 2
decrease 39488 2
decrease 39487 2
decrease 39486 2
decrease 39485 2
decrease 39484 2
decrease 39483 2
decrease 39482 2
decrease 39481 2
decrease 39480 2
decrease 39479 2
decrease 39478 2
decrease 39477 2
decrease 39476 2
decrease 39475 2
decrease 39474 2
decrease 39473 2
decrease 39472 2
decrease 39471 2
decrease 39470 2
decrease 39469 2
decrease 39468 2
decrease 39467 2
decrease 39466 2
decrease 39465 2
decrease 39464 2
decrease 39463 2
decrease 39462 2
decrease 39461 2
decrease 39460 2
decrease 39459 2
decrease 39458 2
decrease 39457 2
decrease 39456 2
decrease 39455 2
decrease 39454 2
decrease 39453 2
decrease 39452 2
decrease 39451 2
decrease 39450 2
decrease 39449 2
decrease 39448 2
decrease 39447 2
decrease 39446 2
decrease 39445 2
decrease 39444 2
decrease 39443 2
decrease 39442 2
decrease 39441 2
decrease 39440 2
decrease 39439 2
decrease 39438 2
decrease 39437 2
decrease 39436 2
decrease 39435 2
decrease 39434 2
decrease 39433 2
decrease 39432 2
decrease 39431 2
decrease 39430 2
decrease 39429 2
decrease 39428 2
decrease 39427 2
decrease 39426 2
decrease 39425 2
decrease 39424 2
decrease 39423 2
decrease 39422 2
decrease 39421 2
decrease 39420 2
decrease 39419 2
decrease 39418 2
decrease 39417 2
decrease 39416 2
decrease 39415 2
decrease 39414 2
decrease 39413 2
decrease 39412 2
decrease 39411 2
decrease 39410 2
decrease 39409 2
decrease 39408 2
decrease 39407 2
decrease 39406 2
decrease 39405 2
decrease 39404 2
decrease 39403 2
decrease 39402 2
decrease 39401 2
decrease 39400 2
decrease 39399 2
decrease 39398 2
decrease 39397 2
decrease 39396 2
decrease 39395 2
decrease 39394 2
decrease 39393 2
decrease 39392 2
decrease 39391 2
decrease 39390 2
decrease 39389 2
decrease 39388 2
decrease 39387 2
decrease 39386 2
decrease 39385 2
decrease 39384 2
decrease 39383 2
decrease 39382 2
decrease 39381 2
decrease 39380 2
decrease 39379 2
decrease 39378 2
decrease 39377 2
decrease 39376 2
decrease 39375 2
decrease 39374 2
decrease 39373 2
decrease 39372 2
decrease 39371 2
decrease 39370 2
decrease 39369 2
decrease 39368 2
decrease 39367 2
decrease 39366 2
decrease 39365 2
decrease 39364 2
decrease 39363 2
decrease 39362 2
decrease 39361 2
decrease 39360 2
decrease 39359 2
decrease 39358 2
decrease 39357 2
decrease 39356 2
decrease 39355 2
decrease 39354 2
decrease 39353 2
decrease 39352 2
decrease 39351 2
decrease 39350 2
decrease 39349 2
decrease 39348 2
decrease 39347 2
decrease 39346 2
decrease 39345 2
decrease 39344 2
decrease 39343 2
decrease 39342 2
decrease 39341 2
decrease 39340 2
decrease 39339 2
decrease 39338 2
decrease 39337 2
decrease 39336 2
decrease 39335 2
decrease 39334 2
decrease 39333 2
decrease 39332 2
decrease 39331 2
decrease 39330 2
decrease 39329 2
decrease 39328 2
decrease 39327 2
decrease 39326 2
decrease 39325 2
decrease 39324 2
decrease 39323 2
decrease 39322 2
decrease 39321 2
decrease 39320 2
decrease 39319 2
decrease 39318 2
decrease 39317 2
decrease 39316 2
decrease 39315 2
decrease 39314 2
decrease 39313 2
decrease 39312 2
decrease 39311 2
decrease 39310 2
decrease 39309 2
decrease 39308 2
decrease 39307 2
decrease 39306 2
decrease 39305 2
decrease 39304 2
decrease 39303 2
decrease 39302 2
decrease 39301 2
decrease 39300 2
decrease 39299 2
decrease 39298 2
decrease 39297 2
decrease 39296 2
decrease 39295 2
decrease 39294 2
decrease 39293 2
decrease 39292 2
decrease 39291 2
decrease 39290 2
decrease 39289 2
decrease 39288 2
decrease 39287 2
decrease 39286 2
decrease 39285 2
decrease 39284 2
decrease 39283 2
decrease 39282 2
decrease 39281 2
decrease 39280 2
decrease 39279 2
decrease 39278 2
decrease 39277 2
decrease 39276 2
decrease 39275 2
decrease 39274 2
decrease 39273 2
decrease 39272 2
decrease 39271 2
decrease 39270 2
decrease 39269 2
decrease 39268 2
decrease 39267 2
decrease 39266 2
decrease 39265 2
decrease 39264 2
decrease 39263 2
